trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.3, 'e': 0.2762516676992083}",20,0,-5.648189969911317,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.3, 'e': 0.2734891510222162}",20,0,5.829624561573046,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.3, 'e': 0.27075425951199406}",25,16,-6.239243728260574,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.2680467169168741}",20,0,-24.5628966037424,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.3, 'e': 0.26536624974770534}",25,16,5.08777740526323,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.2627125872502283}",30,8,-35.02563415143453,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.26008546137772603}",20,13,5.337775421654571,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.25748460676394874}",20,9,16.923002640966526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.2549097606963093}",20,10,10.123666690908726,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.2523606630893462}",20,9,-0.957158576952748,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.2498370564584527}",20,0,-8.489617143530241,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.3, 'e': 0.24733868589386818}",30,17,9.45968349387328,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.24486529903492948}",20,0,-15.824256924520876,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.2424166460445802}",25,11,-37.462502505511495,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.2399924795841344}",20,14,11.126939539496034,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.23759255478829303}",20,9,-19.980710273330494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.3, 'e': 0.23521662924041012}",25,14,8.68513801536071,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.232864462948006}",25,12,13.424330971446661,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.23053581831852593}",20,7,16.38302974023317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.22823046013534068}",30,0,8.442534236445741,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
147,False,"{'a': 0.3, 'e': 0.22594815553398728}",20,12,-27.47192679863038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.3, 'e': 0.2236886739786474}",20,13,14.228147267242585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
